,S_incomepc
468,533.3333
469,418.5
470,920.0
471,2026.6666
472,228.0
473,640.0
474,843.3333
475,920.8333
476,573.3334
477,1600.0
478,434.2857
479,320.0
480,733.3333
481,700.0
482,456.0
483,1200.0
484,831.25
485,1078.4722
486,1388.8888
487,700.0
488,503.47223
489,1037.5
490,480.0
491,675.0
492,520.0
493,166.66666
494,800.0
495,520.55554
496,533.3333
497,640.0
498,700.0
499,1441.6666
500,2308.3333
501,1225.9166
502,1245.8667
503,554.1667
504,1310.4167
505,1600.0
506,1200.0
507,571.4286
508,595.0
509,400.0
510,800.0
511,1417.0834
512,700.0
513,585.0
514,719.4444
515,930.0
516,662.5
517,1308.3334
518,666.6667
519,700.0
520,1053.3334
521,1028.5714
522,640.0
523,816.6666
524,651.4286
525,560.0
526,862.5
527,720.0
528,365.9091
529,1160.0
530,707.1429
531,876.95233
532,613.3334
533,355.20834
534,845.92975
535,866.6667
536,473.3333
537,965.09094
538,0.0
539,1420.0
540,1279.6296
541,1300.0
542,0.0
543,0.0
544,1040.0
545,560.0
546,1116.6667
547,495.2381
548,868.14813
549,405.33334
550,1258.3333
551,933.3333
552,1424.0
553,563.0
554,1120.0
555,720.1429
556,480.0
557,4041.6665
558,4960.0
559,1042.0
560,0.0
561,0.0
562,1050.0
563,670.8333
564,1600.0
565,560.0
566,688.3334
567,1120.4667
568,600.0
569,981.94446
570,720.8333
571,605.9524
572,936.6666
573,1073.6111
574,0.0
575,533.3333
576,1655.5555
577,1136.6666
578,1086.1111
579,0.0
580,1858.3809
581,1353.3334
582,1627.7778
583,1357.7778
584,736.6666
585,1503.8889
586,700.0
587,1591.6666
588,710.8333
589,816.6667
590,1477.7084
591,520.0
592,340.48
593,800.0
594,1236.1111
595,1162.5
596,450.26666
597,792.5
598,877.7778
599,1333.3334
600,1133.3334
601,1360.0
602,2160.0
603,1373.3334
604,912.0
605,600.0
606,880.0
607,0.0
608,1041.6666
609,0.0
610,560.0
611,800.0
612,480.0
613,400.0
614,506.66666
615,1033.5
616,1400.0
617,485.7143
618,0.0
619,810.78925
620,1419.0
621,1372.5
622,800.0
623,400.0
624,1100.0
625,533.3333
626,1000.0
627,500.0
628,720.0
629,602.7778
630,833.3333
631,356.0
632,755.2083
633,520.8333
634,1116.6667
635,1240.0
636,2500.0
637,605.0
638,110.416664
639,405.33334
640,0.0
641,851.6667
642,466.66666
643,0.0
644,480.0
645,1310.4167
646,1283.3334
647,1100.0
648,2106.6667
649,1500.0
650,1428.5714
651,434.2857
652,835.4167
653,0.0
654,0.0
655,718.75
656,1733.3334
657,533.3333
658,1520.0
659,486.4
660,883.3333
661,347.42856
662,810.4167
663,1400.0
664,380.0
665,600.0
666,267.40836
667,190.0
668,1402.7778
669,1245.8334
670,681.25
671,1160.0
672,1451.6667
673,0.0
674,607.86664
675,0.0
676,242.4
677,506.66666
678,548.0
679,0.0
680,480.0
681,364.8
682,600.0
683,1055.5555
684,1148.8096
685,1150.0
686,0.0
687,480.0
688,618.3334
689,2083.3333
690,560.0
691,1291.6666
692,640.0
693,642.0
694,2038.426
695,3812.5
696,0.0
697,433.33334
698,700.0
699,578.0833
700,800.0
701,1017.6
702,2629.5237
703,741.6667
704,496.66666
705,688.8889
706,585.0
707,1372.2222
708,1200.0
709,1960.0
710,386.66666
711,821.3333
712,560.0
713,400.0
714,1348.6111
715,1164.4445
716,1228.5714
717,800.0
718,466.83334
719,347.42856
720,450.0
721,1303.6111
722,912.0
723,655.0
724,1528.7037
725,1153.8889
726,2472.0
727,1283.3333
728,919.72797
729,600.0
730,1675.125
731,933.3333
732,466.66666
733,800.0
734,1214.4048
735,680.55554
736,900.0
737,325.7143
738,583.3333
739,960.0
740,1154.5834
741,933.3333
742,496.0
743,442.85715
744,4053.3333
745,733.3334
746,1400.0
747,854.44446
748,1200.0
749,0.0
750,1066.6666
751,1910.0
752,1200.0
753,720.0
754,1713.5833
755,1100.0
756,800.0
757,2240.8333
758,1028.5714
759,457.14285
760,496.66666
761,700.0
762,1044.0
763,946.6667
764,620.8333
765,727.8333
766,720.8333
767,661.9047
768,770.8333
769,463.09525
770,0.0
771,360.7143
772,640.0
773,841.6667
774,745.0
775,355.55554
776,453.33334
777,971.4286
778,5066.6665
779,3800.0
780,620.8333
781,435.0
782,490.0
783,467.85715
784,451.0
785,258.19443
786,641.6667
787,756.6666
788,813.5417
789,673.3334
790,1100.0
791,831.0833
792,722.2222
793,0.0
794,800.0
795,577.7778
796,1302.7777
797,1335.7142
798,392.66666
799,416.66666
800,2375.0
801,645.8333
802,550.0
803,553.3334
804,1608.3334
805,496.66666
806,866.6667
807,816.6667
808,1198.6111
809,696.6666
810,600.0
811,1448.3334
812,937.0
813,1013.3333
814,406.94446
815,0.0
816,721.6666
817,640.0
818,781.25
819,92.666664
820,763.63635
821,850.0
822,588.88885
823,1088.8889
824,733.3333
825,0.0
826,675.0
827,640.0
828,950.0
829,1073.3334
830,706.2857
831,660.4167
832,805.9524
833,833.3333
834,558.3334
835,874.6667
836,866.6667
837,4116.7964
838,1013.3333
839,1402.7778
840,1776.6666
841,1655.5555
842,1840.6666
843,450.0
844,0.0
845,631.25
846,683.3333
847,893.3333
848,1802.0834
849,487.5
850,837.5
851,800.0
852,1013.8889
853,0.0
854,1010.0
855,1108.3334
856,409.7222
857,1108.3334
858,800.0
859,628.5714
860,0.0
861,1250.0
862,750.0
863,1486.6666
864,0.0
865,480.9524
866,773.3333
867,660.4167
868,444.44446
869,817.5416
870,571.4286
871,1666.6666
872,888.8889
873,866.6667
874,536.80554
875,1555.1282
876,608.0
877,0.0
878,500.0
879,653.8889
880,366.66666
881,840.0
882,800.0
883,1072.2223
884,800.0
885,700.0
886,1216.6666
887,641.6667
888,500.0
889,851.6666
890,0.0
891,0.0
892,645.0
893,685.2084
894,800.0
895,300.0
896,437.5
897,66447.23
898,260.57144
899,3528.067
900,0.0
901,1020.2778
902,1550.0
903,800.0
904,614.25
905,1004.0
906,833.3333
907,826.1905
908,519.44446
909,900.0
910,357.14285
911,500.0
912,657.1429
913,912.0
914,457.14285
915,760.0
916,381.46667
917,434.2857
918,600.0
919,3977.2222
920,452.08334
921,608.0
922,1055.5555
923,1553.3333
924,760.4167
925,929.1667
926,1656.6667
927,818.05554
928,588.88885
929,400.0
930,880.0
931,0.0
932,770.8333
933,66408.336
934,845.8333
935,0.0
936,1641.6666
937,1824.0
938,2400.0
939,1888.0555
940,669.7778
941,980.0
942,1100.0
943,760.0
944,243.2
945,326.0
946,1293.3334
947,336.94443
